timestamp,route_id,stop_id,passengers_boarded
2025-09-06 00:00:00,1,1,12
2025-09-06 00:00:00,1,2,8
2025-09-06 00:00:00,1,3,9
2025-09-06 00:00:00,1,4,7
2025-09-06 00:00:00,1,5,11
2025-09-06 00:00:00,2,6,10
2025-09-06 00:00:00,2,7,12
2025-09-06 00:00:00,2,8,9
2025-09-06 00:00:00,2,9,11
2025-09-06 00:00:00,2,10,10
2025-09-06 01:00:00,1,1,14
2025-09-06 01:00:00,1,2,10
2025-09-06 01:00:00,1,3,11
2025-09-06 01:00:00,1,4,8
2025-09-06 01:00:00,1,5,10
2025-09-06 01:00:00,2,6,12
2025-09-06 01:00:00,2,7,11
2025-09-06 01:00:00,2,8,13
2025-09-06 01:00:00,2,9,10
2025-09-06 01:00:00,2,10,11
2025-09-06 02:00:00,1,1,15
2025-09-06 02:00:00,1,2,9
2025-09-06 02:00:00,1,3,12
2025-09-06 02:00:00,1,4,11
2025-09-06 02:00:00,1,5,10
2025-09-06 02:00:00,2,6,11
2025-09-06 02:00:00,2,7,13
2025-09-06 02:00:00,2,8,10
2025-09-06 02:00:00,2,9,12
2025-09-06 02:00:00,2,10,13
2025-09-06 03:00:00,1,1,18
2025-09-06 03:00:00,1,2,15
2025-09-06 03:00:00,1,3,17
2025-09-06 03:00:00,1,4,16
2025-09-06 03:00:00,1,5,22
2025-09-06 03:00:00,2,6,15
2025-09-06 03:00:00,2,7,16
2025-09-06 03:00:00,2,8,17
2025-09-06 03:00:00,2,9,15
2025-09-06 03:00:00,2,10,17
2025-09-06 04:00:00,1,1,16
2025-09-06 04:00:00,1,2,14
2025-09-06 04:00:00,1,3,16
2025-09-06 04:00:00,1,4,15
2025-09-06 04:00:00,1,5,22
2025-09-06 04:00:00,2,6,14
2025-09-06 04:00:00,2,7,15
2025-09-06 04:00:00,2,8,16
2025-09-06 04:00:00,2,9,14
2025-09-06 04:00:00,2,10,13
2025-09-06 05:00:00,1,1,20
2025-09-06 05:00:00,1,2,18
2025-09-06 05:00:00,1,3,19
2025-09-06 05:00:00,1,4,17
2025-09-06 05:00:00,1,5,25
2025-09-06 05:00:00,2,6,16
2025-09-06 05:00:00,2,7,18
2025-09-06 05:00:00,2,8,19
2025-09-06 05:00:00,2,9,17
2025-09-06 05:00:00,2,10,20
2025-09-06 06:00:00,1,1,25
2025-09-06 06:00:00,1,2,22
