route_id,route_name,start_lat,start_lon,end_lat,end_lon,total_distance_km,estimated_travel_time_min,avg_speed_kmph
R-0001,Route 001,23.091828,72.510004,22.982509,72.589284,24.97,40,37.84
R-0002,Route 002,22.926082,72.668769,22.908939,72.587455,12.45,31,23.98
R-0003,Route 003,23.094965,72.717977,22.966132,72.735706,22.62,38,36.12
R-0004,Route 004,23.109442,72.6361,22.946644,72.882885,39.75,109,21.93
R-0005,Route 005,23.154248,72.74149,23.142138,72.791893,12.06,26,27.57
R-0006,Route 006,23.065612,72.831762,23.085556,72.844683,7.35,21,20.92
R-0007,Route 007,22.968369,72.615755,22.923938,72.593116,8.15,15,32.71
R-0008,Route 008,23.00945,72.648072,22.962852,72.606791,14.06,26,32.18
R-0009,Route 009,22.951342,72.791651,22.949021,72.651782,26.4,51,31.14
R-0010,Route 010,23.105384,72.837141,23.1328,72.591619,29.27,69,25.35
R-0011,Route 011,22.963295,72.877164,23.16291,72.625871,50.49,79,38.29
R-0012,Route 012,23.037656,72.605952,22.973988,72.724547,20.12,32,37.96
R-0013,Route 013,23.01982,72.587728,23.199261,72.703811,26.73,72,22.19
R-0014,Route 014,23.088234,72.816832,23.026648,72.525411,43.53,85,30.58
R-0015,Route 015,23.191324,72.844312,22.903444,72.788289,49.49,117,25.34
R-0016,Route 016,23.092289,72.544621,23.03043,72.681489,29.07,69,25.27
R-0017,Route 017,23.050176,72.571461,23.173788,72.848207,41.76,78,32.18
R-0018,Route 018,22.945852,72.805004,23.061814,72.811451,18.33,42,26.48
R-0019,Route 019,22.905843,72.871639,23.163617,72.832666,36.51,58,37.56
R-0020,Route 020,23.184085,72.534261,23.045797,72.527685,26.66,71,22.57
R-0021,Route 021,23.042585,72.719921,22.979517,72.848973,21.03,41,30.79
R-0022,Route 022,23.118979,72.58046,22.993515,72.89806,52.52,104,30.35
R-0023,Route 023,22.936301,72.589879,23.001426,72.735323,21.36,60,21.42
R-0024,Route 024,23.089331,72.591577,23.171626,72.843854,31.76,57,33.38
R-0025,Route 025,22.964271,72.552925,23.180654,72.728417,43.46,72,36.15
R-0026,Route 026,22.957123,72.538772,23.029315,72.669431,24.3,44,33.47
R-0027,Route 027,23.19525,72.539367,23.020786,72.635721,35.15,89,23.8
R-0028,Route 028,23.034584,72.668753,22.983564,72.599923,16.86,27,37.23
R-0029,Route 029,23.065098,72.520235,23.199785,72.834411,60.81,99,36.97
R-0030,Route 030,22.949893,72.694256,22.964124,72.660416,6.64,10,39.71
R-0031,Route 031,22.979561,72.813628,23.036503,72.669203,30.33,58,31.12
R-0032,Route 032,23.115522,72.561919,22.989012,72.887484,52.65,90,34.96
R-0033,Route 033,22.91715,72.733671,23.050855,72.841088,25.86,72,21.6
R-0034,Route 034,22.955747,72.738014,23.102564,72.594082,29.1,70,24.92
R-0035,Route 035,23.078356,72.747753,23.025767,72.733469,12.8,32,24.09
R-0036,Route 036,23.114858,72.595474,23.018736,72.768676,27.41,47,35.04
R-0037,Route 037,22.921763,72.683314,23.199536,72.898439,43.2,102,25.3
R-0038,Route 038,23.179978,72.852346,23.163781,72.647811,28.19,50,34.07
R-0039,Route 039,23.083503,72.894893,23.096193,72.503129,62.32,112,33.27
R-0040,Route 040,23.181679,72.553716,22.934629,72.542814,39.32,74,32.1
R-0041,Route 041,23.115284,72.581439,23.090271,72.605594,9.53,15,36.92
R-0042,Route 042,22.92769,72.66943,22.983004,72.501418,30.48,72,25.24
R-0043,Route 043,23.122369,72.720672,23.028306,72.503868,31.29,49,38.08
R-0044,Route 044,23.063677,72.833838,23.074753,72.559238,33.73,53,37.98
R-0045,Route 045,23.138837,72.844281,23.169677,72.584031,33.26,56,35.6
R-0046,Route 046,23.16524,72.662551,23.086198,72.561821,25.6,39,39.52
R-0047,Route 047,23.143232,72.852566,22.907436,72.794626,37.86,63,36.04
R-0048,Route 048,23.159219,72.8243,22.980042,72.81495,26.62,43,37.17
R-0049,Route 049,22.96673,72.826635,23.038091,72.622076,35.21,103,20.47
R-0050,Route 050,22.957939,72.631305,23.159306,72.886756,44.99,96,27.99
R-0051,Route 051,23.194345,72.714486,23.181771,72.546137,29.06,44,39.25
R-0052,Route 052,22.97964,72.543361,23.030369,72.791418,35.22,70,30.23
R-0053,Route 053,23.015559,72.730635,22.976417,72.783514,12.0,23,30.77
R-0054,Route 054,23.115829,72.79678,23.101189,72.645689,20.57,46,26.6
R-0055,Route 055,22.994175,72.839206,23.115926,72.620129,34.58,74,28.05
R-0056,Route 056,22.988697,72.550915,23.026134,72.876145,52.33,97,32.31
R-0057,Route 057,22.990285,72.719175,22.900122,72.614765,22.17,40,33.09
R-0058,Route 058,23.039496,72.676864,22.96411,72.689274,17.29,44,23.39
R-0059,Route 059,22.925439,72.706181,23.089882,72.634075,33.58,60,33.46
R-0060,Route 060,22.967392,72.579652,22.907328,72.597937,13.49,38,21.46
R-0061,Route 061,23.024332,72.751906,22.958331,72.778542,12.33,22,33.12
R-0062,Route 062,22.901663,72.800386,23.131014,72.542635,48.81,75,39.16
R-0063,Route 063,23.055387,72.520087,22.974759,72.839335,48.29,87,33.35
R-0064,Route 064,23.196368,72.738181,23.185012,72.85657,20.75,41,30.1
