stop_id,stop_name,route_id,sequence,latitude,longitude
S-000001,Stop 00001,R-0001,1,23.088046,72.507388
S-000002,Stop 00002,R-0001,2,23.086385,72.516187
S-000003,Stop 00003,R-0001,3,23.073791,72.523281
S-000004,Stop 00004,R-0001,4,23.071329,72.52523
S-000005,Stop 00005,R-0001,5,23.065818,72.530574
S-000006,Stop 00006,R-0001,6,23.059851,72.532692
S-000007,Stop 00007,R-0001,7,23.045849,72.538262
S-000008,Stop 00008,R-0001,8,23.044708,72.541562
S-000009,Stop 00009,R-0001,9,23.038851,72.549879
S-000010,Stop 00010,R-0001,10,23.028942,72.559133
S-000011,Stop 00011,R-0001,11,23.023944,72.562418
S-000012,Stop 00012,R-0001,12,23.016747,72.559712
S-000013,Stop 00013,R-0001,13,23.013572,72.564899
S-000014,Stop 00014,R-0001,14,23.001875,72.573152
S-000015,Stop 00015,R-0001,15,22.998647,72.577945
S-000016,Stop 00016,R-0001,16,22.985017,72.58174
S-000017,Stop 00017,R-0001,17,22.98408,72.585321
S-000018,Stop 00018,R-0002,1,22.922416,72.667292
S-000019,Stop 00019,R-0002,2,22.923459,72.665414
S-000020,Stop 00020,R-0002,3,22.927369,72.661049
S-000021,Stop 00021,R-0002,4,22.927865,72.654205
S-000022,Stop 00022,R-0002,5,22.918871,72.645985
S-000023,Stop 00023,R-0002,6,22.9232,72.649289
S-000024,Stop 00024,R-0002,7,22.915401,72.637086
S-000025,Stop 00025,R-0002,8,22.921934,72.639145
S-000026,Stop 00026,R-0002,9,22.916171,72.628604
S-000027,Stop 00027,R-0002,10,22.915989,72.628874
S-000028,Stop 00028,R-0002,11,22.915732,72.616303
S-000029,Stop 00029,R-0002,12,22.916458,72.614015
S-000030,Stop 00030,R-0002,13,22.917602,72.606849
S-000031,Stop 00031,R-0002,14,22.91453,72.60432
S-000032,Stop 00032,R-0002,15,22.914958,72.601174
S-000033,Stop 00033,R-0002,16,22.909956,72.596419
S-000034,Stop 00034,R-0002,17,22.914512,72.590629
S-000035,Stop 00035,R-0002,18,22.905807,72.589376
S-000036,Stop 00036,R-0003,1,23.099208,72.71817
